sneaker_name,sneaker_brand,collaboration,collaboration_name,sneaker_slug,sneaker_color,data.category,discount_tag,box_condition,product_condition,retail_price_eur,lowest_price_eur,instant_ship_lowest_price_eur,gp_lowest_price_eur,gp_instant_ship_lowest_price_eur,release_year,release_month,release_day
Air Jordan 4 Retro 'White Thunder',Nike,0,No,air-jordan-4-retro-white-thunder-fq8138-001,black,shoes,over_retail,good_condition,new_no_defects,215.0,222.0,261.0,273.14,373.12,2024,8,24
Wmns Air Zoom Vomero 5 'Metallic Silver Blue Tint',Nike,0,No,wmns-air-zoom-vomero-5-metallic-silver-blue-tint-hf1877-100,silver,shoes,under_retail,good_condition,new_no_defects,160.0,93.0,100.0,147.74,172.94,2024,8,1
THERE Skateboards x Dunk Low SB 'Ultra Humanized',Nike,1,THERE Skateboards,there-skateboards-x-dunk-low-sb-black-gorge-green-hf7743-001,black,shoes,over_retail,good_condition,new_no_defects,135.0,141.0,177.0,211.94,228.74,2024,8,6
A Ma Maniére x Wmns Air Jordan 4 Retro 'While You Were Sleeping',Nike,1,A Ma Maniére,a-ma-maniere-x-wmns-air-jordan-4-retro-fossil-stone-fz4810-200,pink,shoes,under_retail,good_condition,new_no_defects,250.0,207.0,240.0,273.14,343.31,2024,9,20
9060 'Fuchsia Pink',New Balance,0,No,9060-fuchsia-pink-u9060fp,pink,shoes,under_retail,good_condition,new_no_defects,150.0,147.0,161.0,215.01,233.15,2024,8,15
9060 'Pink Overdye' ASOS Exclusive,Adidas,0,No,9060-pink-overdye-asos-exclusive-u9060app,pink,shoes,over_retail,good_condition,new_no_defects,160.0,310.0,338.896697998,326.97,342.5451660156,2024,7,24
Air Jordan 3 Retro 'Cement Grey',Nike,0,No,air-jordan-3-retro-cement-grey-ct8532-106,white,shoes,under_retail,good_condition,new_no_defects,200.0,137.0,148.0,160.17,212.42,2024,8,31
Kobe 9 Elite Low Protro 'Halo',Nike,1,Kobe Bryant,kobe-9-elite-low-protro-halo-fz7334-100,white,shoes,under_retail,good_condition,new_no_defects,210.0,122.0,132.0,175.34,221.14,2024,9,19
Air Jordan 1 Retro High OG 'Midnight Navy',Nike,0,No,air-jordan-1-retro-high-og-midnight-navy-dz5485-401,blue,shoes,under_retail,good_condition,new_no_defects,180.0,110.0,121.0,138.74,151.94,2024,9,14
Air Jordan 6 Retro 'Olympic' 2024,Nike,0,No,air-jordan-6-retro-olympic-2024-ct8529-164,blue,shoes,under_retail,good_condition,new_no_defects,200.0,126.0,244.0,180.14,369.23,2024,8,3
Travis Scott x Air Jordan 1 Retro Low OG SP 'Reverse Olive / Medium Olive',Nike,1,Travis Scott,travis-scott-x-air-jordan-1-low-og-sp-olive-dm7866-200,green,shoes,over_retail,good_condition,new_no_defects,150.0,389.0,435.0,502.11,597.33,2024,9,28
